,nombre,ironhacker,artista,id_lista,nombre_lista
79,"Adelante, Bonaparte (I) - I. Algunos Recuerdos Significativos de B.",soyungalgo,['Standstill'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
80,Quiénes somos realmente,soyungalgo,['Full'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
81,Fucked Up,soyungalgo,['The Low Flying Panic Attack'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
82,mañaneo,soyungalgo,"['trashi', 'Pedro LaDroga', 'InnerCut']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
83,Nebulosa Jade,soyungalgo,['Rufus T. Firefly'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
84,No te das cuenta,soyungalgo,['Calavera'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
85,1996,soyungalgo,"['InnerCut', 'Juancho Marqués', 'Pedro LaDroga']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
86,Lisístrata,soyungalgo,['Gata Cattana'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
87,The Sun,elliot.esposito,['Myd'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
88,Californication,elliot.esposito,['Red Hot Chili Peppers'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
89,Space Oddity - 2015 Remaster,elliot.esposito,['David Bowie'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
90,Liquid Spirit - Claptone Remix,elliot.esposito,"['Gregory Porter', 'Claptone']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
91,Call Me - Remastered,elliot.esposito,['Blondie'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
92,"Another Brick in the Wall, Pt. 2",elliot.esposito,['Pink Floyd'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
93,Vente Negra,elliot.esposito,['Calle Vapor'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
94,Fly Me To The Moon (In Other Words),elliot.esposito,"['Frank Sinatra', 'Count Basie']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
95,The Chain,elliot.esposito,['Fleetwood Mac'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
96,Can't Stop,elliot.esposito,['Red Hot Chili Peppers'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
97,Time To Give,elliot.esposito,['White Lies'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
98,I Will Wait,elliot.esposito,['Mumford & Sons'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
99,Are You Gonna Be My Girl,copia002,['Jet'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
100,Are You Gonna Be My Girl,copia002,['Jet'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
101,Una Lluna a l'Aigua,copia002,['Txarango'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
102,Quimbara,copia002,"['Celia Cruz', 'Johnny Pacheco']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
103,Ca plane pour moi,copia002,['Plastic Bertrand'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
104,Magalenha,copia002,['Sérgio Mendes'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
105,Pais Tropical / Arerê / Taj Mahal - Ao Vivo,copia002,['Ivete Sangalo'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
106,Like An American,copia002,['Vistas'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
107,Swim For Your Life,copia002,['The Pale White'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
108,Black is Black,copia002,['Los Bravos'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
109,Trasegando,copia002,['Marea'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
110,Swagger,copia002,['Flogging Molly'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
111,Mil pasos,copia002,['Soha'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
112,Johnny B. Goode,copia002,['Chuck Berry'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
113,Blitzkrieg Bop - 2016 Remaster,copia002,['Ramones'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
114,Whiskey In The Jar,copia002,['Metallica'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
115,Get Away,copia002,['Circa Waves'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
116,Run (feat. Lady Leshurr),copia002,"['Tiggs Da Author', 'Lady Leshurr']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
117,Barbara Ann - 2001 Digital Remaster;U.K. Remaster,copia002,['The Beach Boys'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
118,It's Time,copia002,['Imagine Dragons'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
119,I Want You So Hard (Boy's Bad News),copia002,['Eagles Of Death Metal'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
120,Volando Voy,copia002,['Camaron De La Isla'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
121,Que Electricidad,copia002,['Carlos Sadness'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
122,Hacerte Volar,copia002,['Lori Meyers'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
123,Mira cómo vuelo,copia002,['Miss Caffeina'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
124,1932,copia002,['La Maravillosa Orquesta del Alcohol'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
125,Extraño Regalo,copia002,['IZAL'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
126,Duende garrapata,copia002,['Los Delinquentes'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
127,Summer Time,copia002,['Vybz Kartel'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
128,Island Song,copia002,['Zac Brown Band'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
129,If You Wanna,copia002,['The Vaccines'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
130,Summer Vibe,copia002,['Walk Off the Earth'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
131,Lets Go Surfing,copia002,['The Drums'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
132,Brown Eyed Girl,copia002,['Van Morrison'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
133,Alright,copia002,['Supergrass'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
134,New Shoes,copia002,['Paolo Nutini'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
135,Smokin the Boys,copia002,['Audra Mae & The Almighty Sound'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
136,Start Me Up - Remastered,copia002,['The Rolling Stones'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
137,Seven Nation Army,copia002,['The White Stripes'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
138,Reptilia,copia002,['The Strokes'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
139,Safari Song,copia002,['Greta Van Fleet'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
140,"My Way, Soon",copia002,['Greta Van Fleet'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
141,Last Nite,copia002,['The Strokes'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
142,Barquito,11152374629,"['Tito ""El Bambino""']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
143,Obsesión (Tropical Family) [Spanish Version],11152374629,"['Lucenzo', 'Kenza Farah']",5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
144,Já Sei Namorar - 2004 Digital Remaster,11152374629,['Tribalistas'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
145,No es mi primera vez,11152374629,['Deluxe'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
146,There Is a Light That Never Goes Out - 2011 Remaster,11152374629,['The Smiths'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
147,Everyday Is Like Sunday - 2011 Remaster,11152374629,['Morrissey'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
148,Wild Horses,11152374629,['The Rolling Stones'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
149,Thunderstruck,11152374629,['AC/DC'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
150,Helplessness Blues,11152374629,['Fleet Foxes'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
151,Taper Jean Girl,11152374629,['Kings of Leon'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀
